#gene,Dmel,Dsec,Dsim
128up,FBgn0010339,FBgn0176208,FBgn0182597
CG15548,FBgn0039812,FBgn0167847,FBgn0192979
CG15549,FBgn0039810,FBgn0167060,FBgn0188329
CG15550,FBgn0039811,FBgn0167059,FBgn0188318
CG15553,FBgn0039817,FBgn0167049,FBgn0188217
CG15554,FBgn0039820,FBgn0167853,FBgn0192985
CG15555,FBgn0039839,FBgn0167866,FBgn0192996
CG15556,FBgn0039821,FBgn0167046,FBgn0188191
CG15561,FBgn0039829,FBgn0167039,FBgn0188140
CG15563,FBgn0039832,FBgn0167037,FBgn0188119
CG15564,FBgn0039833,FBgn0167036,FBgn0188110
CG15570,FBgn0029697,FBgn0167269,FBgn0188264
CG15571,FBgn0029696,FBgn0167636,FBgn0187935
CG15572,FBgn0029702,FBgn0167274,FBgn0188272
CG15577,FBgn0040904,FBgn0167633,FBgn0195930
CG15579,FBgn0040906,FBgn0167629,FBgn0187929
CG15580,FBgn0037398,FBgn0165518,FBgn0191059
CG15594,FBgn0037421,FBgn0165819,FBgn0191344
CG15599,FBgn0030667,FBgn0177409,FBgn0187446
CG15601,FBgn0030673,FBgn0177437,FBgn0188792
CG15602,FBgn0030694,FBgn0177456,FBgn0196006
CG15605,FBgn0034196,FBgn0174888,FBgn0196785
CG1561,FBgn0030317,FBgn0167993,FBgn0195866
CG15611,FBgn0034194,FBgn0176637,FBgn0183001
CG15614,FBgn0034168,FBgn0176620,FBgn0182986
CG15615,FBgn0034159,FBgn0174915,FBgn0196805
CG15617,FBgn0034151,FBgn0174921,FBgn0196808
CG15618,FBgn0031077,FBgn0177572,FBgn0187225
CG15625,FBgn0031644,FBgn0173406,FBgn0194693
CG15626,FBgn0031635,FBgn0172976,FBgn0194084
CG15628,FBgn0031632,FBgn0173400,FBgn0194687
CG15629,FBgn0031630,FBgn0173399,FBgn0194686
CG15630,FBgn0031627,FBgn0172982,FBgn0194089
CG15631,FBgn0031626,FBgn0172983,FBgn0194090
CG15634,FBgn0031621,FBgn0173393,FBgn0194681
CG15635,FBgn0031617,FBgn0173389,FBgn0189303
CG15642,FBgn0030642,FBgn0174436,FBgn0195835
CG15643,FBgn0030654,FBgn0177418,FBgn0195991
CG15649,FBgn0034563,FBgn0170683,FBgn0196554
CG15650,FBgn0034565,FBgn0170682,FBgn0196552
CG15651,FBgn0034567,FBgn0170680,FBgn0196551
CG15653,FBgn0034578,FBgn0170673,FBgn0196543
CG15657,FBgn0034595,FBgn0170663,FBgn0196534
CG15661,FBgn0034605,FBgn0170655,FBgn0196529
CG15666,FBgn0034622,FBgn0170748,FBgn0183332
CG15673,FBgn0034639,FBgn0170623,FBgn0196497
CG15674,FBgn0034642,FBgn0170762,FBgn0183349
CG15676,FBgn0034651,FBgn0170769,FBgn0183354
CG15695,FBgn0038832,FBgn0178007,FBgn0190880
CG15696,FBgn0038833,FBgn0178008,FBgn0085026
CG15704,FBgn0034103,FBgn0176558,FBgn0182934
CG15705,FBgn0034104,FBgn0176559,FBgn0182935
CG15706,FBgn0034093,FBgn0174962,FBgn0196843
CG15708,FBgn0034099,FBgn0174958,FBgn0196842
CG15710,FBgn0034120,FBgn0174943,FBgn0196828
CG15711,FBgn0034122,FBgn0174941,FBgn0196826
CG15712,FBgn0034131,FBgn0174937,FBgn0196821
CG15717,FBgn0030451,FBgn0166545,FBgn0188670
CG15719,FBgn0030440,FBgn0166463,FBgn0187560
CG1572,FBgn0030309,FBgn0167997,FBgn0185623
CG15721,FBgn0030438,FBgn0166536,FBgn0188663
CG15725,FBgn0030417,FBgn0166524,FBgn0188656
CG15728,FBgn0030409,FBgn0166517,FBgn0188654
CG15730,FBgn0030395,FBgn0166493,FBgn0187579
CG15731,FBgn0030390,FBgn0166495,FBgn0195990
CG15734,FBgn0030374,FBgn0167963,FBgn0187588
CG15735,FBgn0030364,FBgn0168181,FBgn0188631
CG15738,FBgn0030352,FBgn0168174,FBgn0188573
CG15739,FBgn0030347,FBgn0168047,FBgn0188626
CG15740,FBgn0030340,FBgn0167973,FBgn0187614
CG15747,FBgn0030474,FBgn0166565,FBgn0188686
CG1575,FBgn0029999,FBgn0166169,FBgn0188459
CG15753,FBgn0030491,FBgn0172518,FBgn0188699
CG15754,FBgn0030492,FBgn0172519,FBgn0188700
CG15756,FBgn0030493,FBgn0172520,FBgn0188701
CG15760,FBgn0030508,FBgn0172535,FBgn0068607
CG15764,FBgn0029817,FBgn0167382,FBgn0188349
CG15765,FBgn0029814,FBgn0167379,FBgn0188345
CG15766,FBgn0029813,FBgn0167549,FBgn0187854
CG15767,FBgn0029809,FBgn0167374,FBgn0188341
CG15771,FBgn0029801,FBgn0167371,FBgn0188337
CG15772,FBgn0029799,FBgn0167370,FBgn0188336
CG15773,FBgn0029795,FBgn0167368,FBgn0188334
CG1578,FBgn0030336,FBgn0167974,FBgn0187617
CG15784,FBgn0029766,FBgn0167350,FBgn0188320
CG15803,FBgn0038606,FBgn0173616,FBgn0191657
CG15814,FBgn0030873,FBgn0177720,FBgn0195821
CG15817,FBgn0028476,FBgn0167715,FBgn0192863
CG15818,FBgn0031910,FBgn0171348,FBgn0194850
CG15820,FBgn0035312,FBgn0169064,FBgn0185119
CG15822,FBgn0035308,FBgn0169068,FBgn0185124
CG15829,FBgn0035743,FBgn0169741,FBgn0185689
CG15861,FBgn0035084,FBgn0166718,FBgn0196221
CG15863,FBgn0033467,FBgn0175447,FBgn0181811
CG15865,FBgn0015336,FBgn0168311,FBgn0187392
CG15873,FBgn0035003,FBgn0166776,FBgn0196268
CG15876,FBgn0035569,FBgn0168884,FBgn0184958
CG15877,FBgn0035337,FBgn0169052,FBgn0185107
CG15878,FBgn0035316,FBgn0169061,FBgn0185116
CG15879,FBgn0035309,FBgn0169067,FBgn0185123
CG15880,FBgn0031283,FBgn0171557,FBgn0194334
CG15881,FBgn0036909,FBgn0174550,FBgn0186501
CG15882,FBgn0030983,FBgn0177641,FBgn0195801
CG15887,FBgn0038132,FBgn0180807,FBgn0191981
CG15888,FBgn0038131,FBgn0180808,FBgn0191982
CG15891,FBgn0029860,FBgn0167516,FBgn0187826
CG15892,FBgn0029859,FBgn0167517,FBgn0187827
CG15894,FBgn0029864,FBgn0167418,FBgn0188382
CG15896,FBgn0029858,FBgn0167415,FBgn0188380
CG15905,FBgn0034462,FBgn0174706,FBgn0196610
CG15908,FBgn0033085,FBgn0175767,FBgn0182187
CG15912,FBgn0029712,FBgn0167287,FBgn0188284
CG15914,FBgn0030700,FBgn0177460,FBgn0196008
CG15916,FBgn0030704,FBgn0177464,FBgn0196009
CG15919,FBgn0040743,FBgn0176604,FBgn0182972
CG15922,FBgn0040575,FBgn0178052,FBgn0191539
CG15923,FBgn0038814,FBgn0178043,FBgn0191530
CG15925,FBgn0034129,FBgn0176577,FBgn0182947
CG15930,FBgn0029754,FBgn0167585,FBgn0195922
CG1597,FBgn0030289,FBgn0166190,FBgn0187638
CG1598,FBgn0033191,FBgn0175660,FBgn0182015
CG1599,FBgn0033452,FBgn0175457,FBgn0181823
CG1600,FBgn0033188,FBgn0175661,FBgn0182017
CG1602,FBgn0033186,FBgn0175663,FBgn0182019
CG1603,FBgn0033185,FBgn0175664,FBgn0182020
CG1607,FBgn0039844,FBgn0167872,FBgn0193000
CG1628,FBgn0030218,FBgn0166245,FBgn0187666
CG1632,FBgn0030027,FBgn0176365,FBgn0188472
CG1635,FBgn0039854,FBgn0171347,FBgn0193012
CG1636,FBgn0030030,FBgn0176376,FBgn0188474
CG1637,FBgn0030245,FBgn0166224,FBgn0187654
CG1638,FBgn0039855,FBgn0171349,FBgn0193013
CG1640,FBgn0030478,FBgn0166571,FBgn0188690
CG1646,FBgn0039600,FBgn0167674,FBgn0192818
CG1647,FBgn0039602,FBgn0167675,FBgn0192819
CG1648,FBgn0033446,FBgn0175462,FBgn0181827
CG1657,FBgn0030286,FBgn0166410,FBgn0188587
CG1662,FBgn0030481,FBgn0166574,FBgn0188692
CG1663,FBgn0033449,FBgn0176036,FBgn0182452
CG1665,FBgn0033451,FBgn0176037,FBgn0182453
CG1667,FBgn0033453,FBgn0176038,FBgn0182454
CG16700,FBgn0030816,FBgn0168415,FBgn0188887
CG16704,FBgn0031558,FBgn0173038,FBgn0194134
CG1671,FBgn0033454,FBgn0179280,FBgn0182455
CG16710,FBgn0039101,FBgn0181367,FBgn0192478
CG16711,FBgn0036032,FBgn0180038,FBgn0185894
CG16712,FBgn0031561,FBgn0173034,FBgn0194131
CG16713,FBgn0031560,FBgn0173035,FBgn0194132
CG16716,FBgn0034459,FBgn0176850,FBgn0183216
CG16717,FBgn0036028,FBgn0180034,FBgn0185889
CG16718,FBgn0038721,FBgn0181750,FBgn0191588
CG16719,FBgn0036029,FBgn0180036,FBgn0185892
CG16721,FBgn0029820,FBgn0167383,FBgn0188350
CG1673,FBgn0030482,FBgn0166575,FBgn0188695
CG16734,FBgn0037667,FBgn0178654,FBgn0190122
CG16736,FBgn0037668,FBgn0181132,FBgn0192275
CG16739,FBgn0034505,FBgn0176882,FBgn0183252
CG1674,FBgn0039897,FBgn0181642,FBgn0195740
CG16741,FBgn0042198,FBgn0176885,FBgn0183254
CG16742,FBgn0034529,FBgn0176900,FBgn0183267
CG16743,FBgn0032322,FBgn0173677,FBgn0195117
CG16749,FBgn0037678,FBgn0181124,FBgn0192268
CG16753,FBgn0035393,FBgn0169450,FBgn0185431
CG16758,FBgn0035348,FBgn0169046,FBgn0185101
CG16762,FBgn0035343,FBgn0169048,FBgn0185104
CG1677,FBgn0029941,FBgn0172384,FBgn0085967
CG16771,FBgn0032779,FBgn0172254,FBgn0195553
CG16772,FBgn0032835,FBgn0172294,FBgn0195585
CG16775,FBgn0036767,FBgn0179158,FBgn0184096
CG16778,FBgn0003715,FBgn0166706,FBgn0196212
CG16779,FBgn0037698,FBgn0181110,FBgn0192257
CG1678,FBgn0031176,FBgn0177491,FBgn0187164
CG16781,FBgn0029661,FBgn0167661,FBgn0187954
CG16782,FBgn0029659,FBgn0167663,FBgn0187955
CG16786,FBgn0034974,FBgn0173211,FBgn0187128
CG16787,FBgn0034940,FBgn0170405,FBgn0196302
CG16789,FBgn0037712,FBgn0178682,FBgn0190147
CG16790,FBgn0037713,FBgn0181099,FBgn0192248
CG16791,FBgn0038881,FBgn0165974,FBgn0191472
CG16798,FBgn0032856,FBgn0178197,FBgn0193128
CG16799,FBgn0034538,FBgn0174669,FBgn0196571
CG16800,FBgn0032462,FBgn0165033,FBgn0195229
CG16812,FBgn0032488,FBgn0165219,FBgn0195243
CG16813,FBgn0032490,FBgn0165230,FBgn0195244
CG16815,FBgn0032491,FBgn0165241,FBgn0195245
CG16817,FBgn0037728,FBgn0178691,FBgn0190158
CG16820,FBgn0032495,FBgn0165284,FBgn0195250
CG16825,FBgn0032503,FBgn0165357,FBgn0195256
CG16826,FBgn0032505,FBgn0165364,FBgn0195258
CG16836,FBgn0040735,FBgn0176748,FBgn0183116
CG16837,FBgn0035009,FBgn0166803,FBgn0183599
CG16838,FBgn0036574,FBgn0180448,FBgn0186280
CG16848,FBgn0032522,FBgn0165457,FBgn0195268
CG16852,FBgn0028942,FBgn0165576,FBgn0195277
CG16853,FBgn0028941,FBgn0165587,FBgn0195278
CG16854,FBgn0032338,FBgn0173765,FBgn0195132
CG16857,FBgn0028482,FBgn0173369,FBgn0194662
CG16863,FBgn0028931,FBgn0170123,FBgn0195290
CG16865,FBgn0028919,FBgn0170153,FBgn0195292
CG16868,FBgn0034498,FBgn0082772,FBgn0082750
CG16879,FBgn0028904,FBgn0170401,FBgn0195318
CG1688,FBgn0027589,FBgn0175463,FBgn0181828
CG16884,FBgn0028544,FBgn0169947,FBgn0193441
CG16885,FBgn0032538,FBgn0169954,FBgn0193442
CG16888,FBgn0032533,FBgn0170036,FBgn0193456
CG16890,FBgn0028932,FBgn0170045,FBgn0193458
CG16892,FBgn0030122,FBgn0177337,FBgn0188529
CG16894,FBgn0034483,FBgn0174691,FBgn0196596
CG16896,FBgn0035073,FBgn0166727,FBgn0196228
CG1690,FBgn0033442,FBgn0175464,FBgn0181829
CG16903,FBgn0040394,FBgn0173823,FBgn0188010
CG16908,FBgn0037741,FBgn0181072,FBgn0192228
CG16912,FBgn0035064,FBgn0166733,FBgn0196233
CG16926,FBgn0040732,FBgn0174710,FBgn0196614
CG16935,FBgn0033883,FBgn0175132,FBgn0197017
CG16940,FBgn0035111,FBgn0169242,FBgn0185264
CG16941,FBgn0038464,FBgn0170313,FBgn0186769
CG16947,FBgn0031816,FBgn0172846,FBgn0193977
CG16952,FBgn0030701,FBgn0177463,FBgn0188812
CG16953,FBgn0038809,FBgn0178046,FBgn0191533
CG16956,FBgn0032523,FBgn0180378,FBgn0193471
CG16957,FBgn0032519,FBgn0180411,FBgn0193475
CG16959,FBgn0036481,FBgn0179367,FBgn0184303
CG16964,FBgn0032385,FBgn0181520,FBgn0195169
CG16965,FBgn0032387,FBgn0181530,FBgn0195171
CG16974,FBgn0032479,FBgn0180668,FBgn0193495
CG16978,FBgn0040972,FBgn0180722,FBgn0193500
CG16979,FBgn0036512,FBgn0180398,FBgn0186236
CG1698,FBgn0033443,FBgn0176032,FBgn0182449
CG16984,FBgn0062517,FBgn0169420,FBgn0185402
CG16986,FBgn0035356,FBgn0169952,FBgn0185404
CG16995,FBgn0031412,FBgn0173238,FBgn0194536
CG17002,FBgn0033122,FBgn0175791,FBgn0182210
CG17003,FBgn0031082,FBgn0177568,FBgn0187224
CG17005,FBgn0032109,FBgn0172332,FBgn0194972
CG1701,FBgn0033167,FBgn0175680,FBgn0182035
CG17018,FBgn0039972,FBgn0181528,FBgn0195703
CG17019,FBgn0033783,FBgn0175208,FBgn0197084
CG17026,FBgn0036550,FBgn0180424,FBgn0186262
CG17027,FBgn0036553,FBgn0180427,FBgn0186265
CG17028,FBgn0036552,FBgn0180426,FBgn0186264
CG17029,FBgn0036551,FBgn0180425,FBgn0186263
CG17030,FBgn0035584,FBgn0168869,FBgn0184943
CG17032,FBgn0036547,FBgn0180421,FBgn0186260
CG17036,FBgn0032449,FBgn0180886,FBgn0193513
CG17047,FBgn0033827,FBgn0176345,FBgn0182723
CG17048,FBgn0033828,FBgn0175169,FBgn0197048
CG17059,FBgn0040754,FBgn0176334,FBgn0182714
CG17068,FBgn0031098,FBgn0177555,FBgn0187214
CG1707,FBgn0033162,FBgn0175682,FBgn0182037
CG17075,FBgn0031239,FBgn0171599,FBgn0085134
CG17083,FBgn0039070,FBgn0178442,FBgn0189918
CG17097,FBgn0032275,FBgn0173542,FBgn0250852
CG17098,FBgn0032276,FBgn0173554,FBgn0195095
CG17104,FBgn0040496,FBgn0173576,FBgn0195097
CG17105,FBgn0032280,FBgn0173586,FBgn0195098
CG17107,FBgn0032281,FBgn0173597,FBgn0195099
CG17108,FBgn0032285,FBgn0166475,FBgn0193645
CG17118,FBgn0032291,FBgn0173625,FBgn0195102
CG17119,FBgn0039045,FBgn0178462,FBgn0189935
CG17124,FBgn0032297,FBgn0166411,FBgn0193637
CG17127,FBgn0032299,FBgn0173643,FBgn0195105
CG17134,FBgn0032304,FBgn0173651,FBgn0195109
CG17141,FBgn0039020,FBgn0178482,FBgn0189951
CG17145,FBgn0036953,FBgn0177130,FBgn0186532
CG17154,FBgn0036246,FBgn0180183,FBgn0186039
CG1718,FBgn0031170,FBgn0177502,FBgn0188875
CG17180,FBgn0035140,FBgn0169268,FBgn0182779
CG17181,FBgn0035144,FBgn0169198,FBgn0185239
CG17184,FBgn0037884,FBgn0180966,FBgn0190262
CG17186,FBgn0038741,FBgn0181739,FBgn0191576
CG17187,FBgn0037882,FBgn0180967,FBgn0190263
CG17189,FBgn0039485,FBgn0165317,FBgn0192763
CG17190,FBgn0038761,FBgn0172610,FBgn0191568
CG17193,FBgn0040571,FBgn0172604,FBgn0191563
CG17195,FBgn0039369,FBgn0165170,FBgn0189706
CG17199,FBgn0038775,FBgn0178073,FBgn0191558
CG17202,FBgn0038043,FBgn0178895,FBgn0190347
CG17207,FBgn0038051,FBgn0180861,FBgn0192031
CG17211,FBgn0032414,FBgn0181599,FBgn0195191
CG17217,FBgn0032419,FBgn0181608,FBgn0195196
CG17219,FBgn0031494,FBgn0173295,FBgn0194589
CG17221,FBgn0031500,FBgn0173298,FBgn0194592
CG17224,FBgn0031489,FBgn0173083,FBgn0183739
CG17233,FBgn0036958,FBgn0177107,FBgn0183942
CG17234,FBgn0042187,FBgn0173233,FBgn0194532
CG17237,FBgn0031410,FBgn0173147,FBgn0194239
CG1724,FBgn0031164,FBgn0177506,FBgn0195770
CG17242,FBgn0250841,FBgn0173149,FBgn0194242
CG17244,FBgn0039031,FBgn0181328,FBgn0192446
CG17249,FBgn0035249,FBgn0169118,FBgn0185169
CG17258,FBgn0031496,FBgn0173080,FBgn0194179
CG17259,FBgn0031497,FBgn0173079,FBgn0194177
CG17260,FBgn0031498,FBgn0173297,FBgn0194591
CG17261,FBgn0031501,FBgn0173299,FBgn0194593
CG17264,FBgn0031490,FBgn0173293,FBgn0183743
CG17266,FBgn0033089,FBgn0175744,FBgn0182086
CG17267,FBgn0038821,FBgn0178034,FBgn0191521
CG17270,FBgn0038828,FBgn0178026,FBgn0191515
CG17271,FBgn0038829,FBgn0178024,FBgn0191513
CG17272,FBgn0038830,FBgn0178023,FBgn0191512
CG17273,FBgn0027493,FBgn0178022,FBgn0191510
CG17278,FBgn0046763,FBgn0170037,FBgn0191502
CG17283,FBgn0038505,FBgn0170147,FBgn0190658
CG17287,FBgn0034202,FBgn0174884,FBgn0196782
CG17290,FBgn0034201,FBgn0176642,FBgn0183005
CG17292,FBgn0032029,FBgn0171831,FBgn0194909
CG17294,FBgn0032032,FBgn0171835,FBgn0194911
CG17298,FBgn0038879,FBgn0170004,FBgn0190914
CG17300,FBgn0036345,FBgn0179472,FBgn0184402
CG17321,FBgn0032719,FBgn0172209,FBgn0195517
CG17322,FBgn0027070,FBgn0172207,FBgn0195515
CG17323,FBgn0032713,FBgn0172206,FBgn0195514
CG17324,FBgn0027074,FBgn0172205,FBgn0195513
CG17325,FBgn0040993,FBgn0172203,FBgn0195511
CG17327,FBgn0038107,FBgn0180823,FBgn0191997
CG17328,FBgn0028895,FBgn0173570,FBgn0195407
CG17329,FBgn0028896,FBgn0173568,FBgn0195405
CG17331,FBgn0032596,FBgn0172072,FBgn0193317
CG17333,FBgn0030239,FBgn0166380,FBgn0196104
CG17341,FBgn0028906,FBgn0170412,FBgn0195319
CG17343,FBgn0032751,FBgn0172233,FBgn0195536
CG17344,FBgn0032755,FBgn0172234,FBgn0195537
CG17349,FBgn0032771,FBgn0172248,FBgn0195547
CG17350,FBgn0032772,FBgn0172249,FBgn0195548
CG17352,FBgn0035880,FBgn0179807,FBgn0184721
CG17359,FBgn0036396,FBgn0179429,FBgn0184366
CG17360,FBgn0037949,FBgn0180926,FBgn0192101
CG17361,FBgn0036395,FBgn0180300,FBgn0186152
CG17362,FBgn0036393,FBgn0180297,FBgn0186149
CG17364,FBgn0036391,FBgn0179431,FBgn0184368
CG1737,FBgn0030293,FBgn0166416,FBgn0188592
CG17376,FBgn0042189,FBgn0168745,FBgn0193939
CG17378,FBgn0031858,FBgn0171132,FBgn0194814
CG1738,FBgn0030291,FBgn0166414,FBgn0084877
CG17380,FBgn0039077,FBgn0178433,FBgn0189910
CG17385,FBgn0033934,FBgn0175095,FBgn0196968
CG17386,FBgn0033936,FBgn0176426,FBgn0182814
CG17387,FBgn0037276,FBgn0165627,FBgn0191146
CG17404,FBgn0038001,FBgn0180888,FBgn0192058
CG17440,FBgn0030120,FBgn0177143,FBgn0187709
CG1746,FBgn0039830,FBgn0167038,FBgn0188129
CG17470,FBgn0032869,FBgn0178187,FBgn0193116
CG17471,FBgn0039924,FBgn0167936,FBgn0195704
CG17475,FBgn0038481,FBgn0170302,FBgn0191726
CG17477,FBgn0038479,FBgn0170303,FBgn0191727
CG1749,FBgn0030305,FBgn0168016,FBgn0188603
CG1750,FBgn0039836,FBgn0167034,FBgn0188094
CG17544,FBgn0032775,FBgn0171926,FBgn0193185
CG17549,FBgn0032774,FBgn0171927,FBgn0193186
CG17565,FBgn0038424,FBgn0170074,FBgn0190603
CG17568,FBgn0032763,FBgn0171936,FBgn0193193
CG17570,FBgn0260000,FBgn0178201,FBgn0193133
CG17571,FBgn0259998,FBgn0178202,FBgn0193134
CG17572,FBgn0032753,FBgn0171947,FBgn0193203
CG17574,FBgn0033777,FBgn0175213,FBgn0197088
CG17575,FBgn0250842,FBgn0175216,FBgn0045629
CG17580,FBgn0040755,FBgn0176307,FBgn0182685
CG17593,FBgn0031544,FBgn0173325,FBgn0194626
CG17598,FBgn0031194,FBgn0166664,FBgn0187151
CG17599,FBgn0031196,FBgn0166663,FBgn0187150
CG17601,FBgn0031197,FBgn0166681,FBgn0196207
CG17612,FBgn0031597,FBgn0173006,FBgn0194113
CG17618,FBgn0040587,FBgn0181316,FBgn0192434
CG17625,FBgn0039002,FBgn0181310,FBgn0192429
CG17633,FBgn0032144,FBgn0172603,FBgn0195006
CG17646,FBgn0264494,FBgn0171745,FBgn0194502
CG17648,FBgn0031364,FBgn0171746,FBgn0194503
CG17650,FBgn0031365,FBgn0171506,FBgn0194288
CG17652,FBgn0031361,FBgn0171509,FBgn0194292
CG17658,FBgn0034924,FBgn0170976,FBgn0183546
CG17660,FBgn0031356,FBgn0171514,FBgn0194291
CG17662,FBgn0034884,FBgn0170441,FBgn0196339
CG17664,FBgn0034883,FBgn0170442,FBgn0196340
CG17666,FBgn0036311,FBgn0180229,FBgn0186086
CG17669,FBgn0034352,FBgn0174790,FBgn0196686
CG17680,FBgn0062440,FBgn0174811,FBgn0196709
CG17681,FBgn0032668,FBgn0172178,FBgn0195488
CG17687,FBgn0036348,FBgn0180269,FBgn0186124
CG17712,FBgn0027597,FBgn0171508,FBgn0194290
CG17717,FBgn0029877,FBgn0167437,FBgn0188392
CG17721,FBgn0037885,FBgn0178795,FBgn0192138
CG17724,FBgn0033802,FBgn0175191,FBgn0197068
CG17726,FBgn0037880,FBgn0178793,FBgn0192136
CG1773,FBgn0033439,FBgn0176026,FBgn0182443
CG17734,FBgn0037890,FBgn0180962,FBgn0192134
CG17737,FBgn0035423,FBgn0169471,FBgn0185447
CG17738,FBgn0038009,FBgn0178873,FBgn0190323
CG17739,FBgn0033710,FBgn0176236,FBgn0182615
CG17744,FBgn0035730,FBgn0168727,FBgn0184818
CG17746,FBgn0035425,FBgn0168991,FBgn0185053
CG17760,FBgn0033756,FBgn0176292,FBgn0182669
CG17765,FBgn0033529,FBgn0176102,FBgn0182508
CG17768,FBgn0032240,FBgn0166630,FBgn0193670
CG17770,FBgn0039374,FBgn0165215,FBgn0192684
CG17780,FBgn0039197,FBgn0178352,FBgn0189824
CG17781,FBgn0039196,FBgn0178353,FBgn0189825
CG17782,FBgn0039195,FBgn0178354,FBgn0189826
CG17784,FBgn0039192,FBgn0178356,FBgn0189828
CG17801,FBgn0038550,FBgn0170254,FBgn0191686
CG17802,FBgn0038549,FBgn0170255,FBgn0191687
CG17803,FBgn0038547,FBgn0170257,FBgn0191689
CG17806,FBgn0038548,FBgn0170256,FBgn0191688
CG17807,FBgn0034748,FBgn0170550,FBgn0196433
CG17816,FBgn0037525,FBgn0165398,FBgn0190954
CG17819,FBgn0038915,FBgn0178548,FBgn0190015
CG17821,FBgn0034383,FBgn0174765,FBgn0196659
CG17826,FBgn0036227,FBgn0180171,FBgn0186028
CG17829,FBgn0025635,FBgn0173980,FBgn0188123
CG17834,FBgn0028394,FBgn0171978,FBgn0194933
CG17839,FBgn0036454,FBgn0180341,FBgn0186187
CG17840,FBgn0031611,FBgn0173386,FBgn0194677
CG17841,FBgn0028480,FBgn0166363,FBgn0188552
CG1785,FBgn0030061,FBgn0176665,FBgn0188495
CG17855,FBgn0032124,FBgn0172416,FBgn0194988
CG17856,FBgn0039576,FBgn0171293,FBgn0192806
CG1789,FBgn0030063,FBgn0176675,FBgn0188496
CG17896,FBgn0023537,FBgn0173940,FBgn0188090
CG17904,FBgn0032597,FBgn0172110,FBgn0195432
CG1791,FBgn0030163,FBgn0173729,FBgn0195887
CG17912,FBgn0032600,FBgn0172112,FBgn0195434
CG17917,FBgn0037431,FBgn0165831,FBgn0191353
CG17919,FBgn0037433,FBgn0165833,FBgn0191355
CG1792,FBgn0039860,FBgn0171352,FBgn0193016
CG17922,FBgn0034656,FBgn0170609,FBgn0196484
CG17928,FBgn0032603,FBgn0172116,FBgn0195438
CG17929,FBgn0038415,FBgn0170068,FBgn0190597
CG17930,FBgn0038416,FBgn0170069,FBgn0190598
CG17931,FBgn0038421,FBgn0170358,FBgn0191771
CG17944,FBgn0037500,FBgn0165433,FBgn0190981
CG17959,FBgn0029647,FBgn0174161,FBgn0188221
CG17974,FBgn0034624,FBgn0170641,FBgn0196514
CG17982,FBgn0030006,FBgn0166152,FBgn0195969
CG17985,FBgn0033199,FBgn0175654,FBgn0182008
CG17994,FBgn0033072,FBgn0171390,FBgn0182101
CG17996,FBgn0032595,FBgn0172074,FBgn0193318
CG17999,FBgn0034552,FBgn0170688,FBgn0196560
CG18003,FBgn0061356,FBgn0176125,FBgn0182526
CG18004,FBgn0033566,FBgn0176126,FBgn0182527
CG1801,FBgn0031171,FBgn0177501,FBgn0187169
CG18011,FBgn0033491,FBgn0176074,FBgn0182484
CG18012,FBgn0038552,FBgn0170252,FBgn0191684
CG18048,FBgn0037435,FBgn0165834,FBgn0191356
CG18063,FBgn0028856,FBgn0173549,FBgn0195389
CG18065,FBgn0034519,FBgn0174678,FBgn0196582
CG18067,FBgn0034512,FBgn0176894,FBgn0183262
CG18088,FBgn0032082,FBgn0172214,FBgn0194956
CG18094,FBgn0032791,FBgn0172264,FBgn0195562
CG18095,FBgn0028872,FBgn0169884,FBgn0193433
CG18110,FBgn0039677,FBgn0167735,FBgn0192880
CG18128,FBgn0034898,FBgn0170435,FBgn0196333
CG18130,FBgn0030359,FBgn0168162,FBgn0187598
CG18131,FBgn0031343,FBgn0171521,FBgn0194302
CG18132,FBgn0031345,FBgn0171519,FBgn0194300
CG18135,FBgn0036837,FBgn0169825,FBgn0184045
CG18136,FBgn0036839,FBgn0169822,FBgn0184043
CG1814,FBgn0033426,FBgn0176015,FBgn0182431
CG1815,FBgn0039863,FBgn0171355,FBgn0193019
CG18170,FBgn0035239,FBgn0169351,FBgn0189169
CG18171,FBgn0035262,FBgn0169104,FBgn0185158
CG18173,FBgn0035265,FBgn0169100,FBgn0185155
CG18178,FBgn0036035,FBgn0179709,FBgn0184624
CG18190,FBgn0034403,FBgn0174750,FBgn0196648
CG18193,FBgn0037579,FBgn0178592,FBgn0265132
CG18213,FBgn0038470,FBgn0170310,FBgn0191734
CG18223,FBgn0036832,FBgn0169831,FBgn0184050
CG18231,FBgn0036796,FBgn0169900,FBgn0186431
CG18233,FBgn0036795,FBgn0169899,FBgn0186430
CG18234,FBgn0036794,FBgn0169898,FBgn0186429
CG1824,FBgn0030403,FBgn0166485,FBgn0187572
CG18249,FBgn0037553,FBgn0178571,FBgn0190043
CG18258,FBgn0030827,FBgn0168427,FBgn0188897
CG18262,FBgn0030012,FBgn0166177,FBgn0188467
CG18265,FBgn0036725,FBgn0180556,FBgn0084710
CG18266,FBgn0031724,FBgn0173470,FBgn0194740
CG18268,FBgn0037520,FBgn0165401,FBgn0190957
CG18269,FBgn0031719,FBgn0173463,FBgn0194736
CG1827,FBgn0033431,FBgn0176018,FBgn0182434
CG18273,FBgn0029525,FBgn0173941,FBgn0188091
CG18292,FBgn0030269,FBgn0166402,FBgn0188584
CG18302,FBgn0032266,FBgn0173456,FBgn0195091
CG18304,FBgn0031869,FBgn0168663,FBgn0193931
